,Setup,latitude,longitude,MonthStart,MonthEnd,ghi_sum,ResultPVWm2Front,ResultPVWm2Back,ResultPVGround,edgemean,insidemean,testbedAmean,testbedBmean,testbedCmean,testbedDmean,testbedEmean,testbedFmean,edge_normGHI,inside_normGHI,testbedA_normGHI,testbedB_normGHI,testbedC_normGHI,testbedD_normGHI,testbedE_normGHI,testbedF_normGHI,Month
0,1,30.38,-84.37,1,1,91957,102676.821,"[10486.131970000002, 10257.002199999999, 10184.76553, 10227.864779999998, 10527.925169999999, 10758.631360000003, 11134.843770000001, 11504.14718, 11946.584520000002]","[29350.881279999998, 28104.656209999997, 27817.28976, 26715.9241, 27456.899830000002, 27236.423999999995, 32843.7197, 33331.909700000004, 35011.5499, 38335.104499999994, 41627.81119999999, 43546.6123, 44342.9002, 45271.9861, 49669.1791, 52114.7192, 55578.0896, 56693.493200000004, 57437.201700000005, 58206.821, 59101.1604, 59212.6034, 59791.279599999994, 60223.6398, 60067.0068, 60892.96430000001, 61134.945100000004, 62663.6884, 65323.0136, 66873.83640000001, 67041.2457, 66344.1769, 67104.2642, 66248.54109999999, 66427.9857, 68481.5068, 68080.52029999999, 67444.8832, 67253.97989999999, 67300.8063, 66371.63440000001, 64504.749200000006, 63780.2462, 61927.635200000004, 59282.03149999999, 55907.0266, 53074.100099999996, 50566.167700000005, 47073.801400000004, 42773.2785, 40367.66099999999, 36705.56228, 34857.09709, 33970.32967000001, 30179.92292]",36583.965312,60210.49022857143,51235.45218181819,62688.036363636355,65708.368,,,,0.3978377427710778,0.654767883125498,0.557167504179325,0.6817103250827709,0.7145553682699523,,,,Jan
1,1,30.38,-84.37,2,2,106849,121410.27784444446,"[13816.560389999999, 13269.02936, 13263.360059999999, 13035.9495, 13115.51767, 13374.725429999999, 13162.469910000002, 13590.5197, 14243.77425]","[33960.495500000005, 32354.1214, 32110.603, 31303.745499999997, 33011.98810000001, 34114.687300000005, 36105.0466, 37293.9956, 37948.9628, 42429.53209999998, 45813.667499999996, 48212.5123, 49754.6046, 53413.58209999999, 57880.87430000001, 59104.1686, 60782.6037, 62236.20190000001, 63510.86059999999, 64938.15440000001, 66853.37879999999, 67617.61710000002, 70075.10270000002, 71234.6541, 71908.0387, 73182.46650000001, 73620.076, 72456.9046, 72889.6352, 74492.56049999999, 74845.84129999999, 75372.77479999998, 75206.204, 74800.77059999999, 75168.5499, 73218.4639, 75416.7462, 75248.3647, 74434.7039, 74275.4095, 73740.29539999999, 72170.53760000001, 71050.1731, 70117.5846, 68673.9845, 65857.058, 64495.8796, 59403.188299999994, 57125.66020000001, 50168.916800000006, 46113.2098, 42650.415700000005, 38608.57229999999, 37660.951499999996, 35657.06290000001]",42418.70465,68106.23052,57500.05534545455,72517.78831818182,73347.82983846155,,,,0.3969967397916686,0.637406344654606,0.5381431304500234,0.6786941227169353,0.6864624829288206,,,,Feb
2,1,30.38,-84.37,3,3,137720,155157.5498833333,"[15756.940581, 15236.372213, 14998.122217999999, 15098.000229, 15418.047533, 15721.342606, 16242.791740999997, 16983.276863, 17676.168907]","[44021.61671, 40814.88567, 41843.84347, 40136.828550000006, 39776.01441, 39312.082800000004, 44239.48118, 48389.40583, 49596.0012, 51714.32715, 58374.71649, 62507.050729999995, 64284.45569, 68900.83288, 73574.58673000001, 76744.11929, 80388.64233999999, 81704.23071, 82636.17791, 82943.5481, 84568.84541, 85587.53092, 90530.65254, 91158.89262, 93093.65241000001, 94847.81307999999, 96594.02588, 97408.02635, 99511.26834000001, 98831.88716000001, 98932.35472, 99013.77970999999, 100152.00133999999, 97979.49796000001, 99362.26380999999, 98686.86485999999, 98451.39839000002, 98645.85231999999, 96788.76455, 96324.51066, 96942.86923999999, 94393.09657000001, 92518.79791, 91108.87228000001, 89106.90475, 88556.23535999999, 82334.00546999999, 79277.7977, 73520.09100999999, 63620.72181, 57252.97807, 55734.21037000001, 54206.46295, 52267.51494, 47186.84756]",54690.067610499995,88931.39384714287,74238.83693454544,95046.35306636363,96189.36112615386,,,,0.3971105693472262,0.6457405884921789,0.5390563239510996,0.6901419769558789,0.6984414836345764,,,,Mar
3,1,30.38,-84.37,4,4,176755,211567.1229,"[18263.27354, 17493.56747, 17271.86914, 17288.39794, 17589.73602, 18300.669280000002, 19081.62954, 20132.99547, 21186.791129999998]","[53080.60660000001, 50460.932799999995, 49707.6547, 50568.444800000005, 50870.4945, 50963.8344, 54436.0547, 59686.61729999999, 63977.8708, 65680.10160000001, 75484.35160000001, 81204.64140000001, 84206.6701, 90212.4923, 95748.2623, 100171.3635, 102442.1554, 104186.12490000001, 104706.91380000001, 105739.10399999999, 111751.0131, 115599.9253, 118118.1859, 120659.76309999998, 121394.0406, 119871.1155, 120453.7553, 120985.32920000001, 127247.51469999999, 126392.60200000001, 129605.6241, 128971.12900000002, 129057.90789999999, 129256.8766, 128108.48560000001, 127439.02549999999, 125982.1936, 124168.9444, 121480.96140000001, 122147.62749999999, 121563.5112, 121238.7126, 119190.0853, 114242.94529999999, 106536.2797, 105319.2475, 94139.4985, 91127.62750000002, 89597.502, 80140.2704, 73439.0374, 68425.1402, 64379.169899999986, 57984.613900000004, 55385.962499999994]",66468.5341,114159.01810571428,95986.64476363639,122663.54406363635,122339.50435384616,,,,0.37604896099120255,0.645860191257471,0.5430491061844722,0.693974960049992,0.6921416896486445,,,,Apr
4,1,30.38,-84.37,5,5,203781,239704.64764666665,"[22001.98448, 21086.655982999997, 20642.074418, 20873.245087, 21318.422037, 21803.681022999997, 22805.501854000002, 23868.559421999995, 25139.25705]","[59655.51644999999, 53658.46097, 55140.32231, 54831.218559999994, 54407.40432, 59515.20760999998, 61894.89723000001, 68067.44965999998, 76108.54319999999, 76613.41463, 86145.41659000001, 93689.41614999999, 96484.17065, 99666.91416000003, 102705.89286, 108259.78762999999, 112479.45294999999, 117874.10876999999, 119982.76322999998, 122042.84764, 121879.28905, 127392.15216, 131386.5588, 135762.09712999998, 136789.58304, 140955.44933, 140926.16553000003, 140659.39922999998, 141995.85813, 147848.61148999995, 146353.67535, 146721.10523000002, 146143.00467000002, 146329.24421, 147572.24525, 146531.46861, 146757.59657, 144874.47473000002, 141609.05980999998, 138791.48837999997, 137797.11962999997, 134844.68178, 127993.98355, 124183.18500000001, 118211.29736000001, 114432.2273, 106552.09694000002, 100423.00037, 97566.46787, 92834.43003999999, 84971.15801, 81345.38898000002, 74838.05144000001, 67932.73747, 62311.393919999995]",75154.969364,129132.55899,107382.73269818182,139708.24140181817,138587.60381153846,,,,0.3688026330423347,0.6336830175040853,0.5269516426859315,0.6855803112253751,0.6800810861245085,,,,May
5,1,30.38,-84.37,6,6,189458,217913.22033333333,"[20198.492299999998, 19345.686900000004, 18823.5526, 18894.085599999995, 19224.023999999998, 19867.7189, 20775.559400000002, 21661.7875, 22768.162]","[51379.2806, 48185.757099999995, 51237.9508, 51583.304000000004, 53743.0846, 58236.9195, 59085.0073, 65032.769799999995, 73849.59889999998, 78619.57630000002, 85817.8341, 92615.31439999999, 98403.06030000003, 105396.07450000002, 111533.2548, 114526.98099999997, 119736.3357, 122035.18099999998, 125697.17910000001, 128672.95180000001, 134366.1512, 133382.55550000002, 135341.7416, 134978.39459999997, 136696.3746, 137547.07069999998, 135662.1271, 134696.7014, 136831.03339999996, 138312.2376, 139877.6982, 139254.501, 138731.0256, 140465.3421, 139528.8345, 139355.1091, 137703.51830000003, 133247.31259999998, 131072.36680000002, 127571.7618, 126028.0897, 125154.21440000001, 121423.25480000001, 116012.59770000001, 109348.88599999998, 101752.09850000001, 98876.4919, 88363.49909999999, 79187.8245, 74144.54810000001, 70449.38810000001, 62468.40460000001, 55412.5553, 52345.3958, 51975.253099999994]",66296.43539500001,126486.37334285714,112618.21071818181,136598.22142727274,129664.79333846153,,,,0.34992681963812566,0.6676222347056189,0.5944230949243727,0.7209947398751847,0.6843986178385791,,,,Jun
6,1,30.38,-84.37,7,7,177755,200126.48646666668,"[18375.776393, 17709.13596, 17471.080094, 17533.377601, 17871.001193999997, 18483.89924, 19268.363072999997, 20117.893925, 21103.843029000003]","[46545.7472, 45505.670679999996, 48665.03767, 51820.726650000004, 54988.312990000006, 59067.14818999999, 60720.91273000001, 67280.71777, 75681.76673999999, 77470.73274, 86294.50426, 91342.88805000001, 96849.42785, 105628.61408000001, 109878.69372000001, 111845.04736, 113287.90618, 119870.77201000002, 121918.00174, 127167.46013, 129031.40165, 128332.31956, 130207.07832999999, 130913.69177, 130647.2289, 131328.61433999997, 131770.34566000002, 130850.67168000001, 134098.29595, 133453.68877, 134251.92869, 135309.55077000003, 135227.92178, 132371.62065, 132144.88569999998, 130753.94136, 129859.87084999999, 126294.57316, 123949.25925, 121108.87997000002, 118582.27313000002, 115222.29566999999, 113786.06509999999, 107503.60341000001, 102397.93686999998, 97598.66681999998, 89227.13973999998, 83520.64335, 80834.01687, 67084.83614, 60239.14683, 54403.539319999996, 49971.68256000001, 47534.72051000001, 47682.09937]",63292.16324350001,121528.03595285714,110283.15609363635,131923.94676545457,122246.39437692308,,,,0.356064038949678,0.6836827990934553,0.6204222446267973,0.742167290739808,0.6877240830183291,,,,Jul
7,1,30.38,-84.37,8,8,173351,200715.4883111111,"[18818.59597, 18257.98674, 18031.20777, 17946.860979999998, 18285.555490000002, 18807.33136, 19588.887300000002, 20235.622919999998, 21274.74472]","[50927.1748, 48901.6223, 47589.51439999999, 49842.1762, 50502.1959, 52279.8812, 57729.43349999999, 61998.6781, 66304.0911, 67710.5801, 77751.58260000001, 81195.38209999999, 84163.16399999999, 88757.96459999999, 93791.3866, 98820.141, 102421.5073, 103549.9688, 105553.1623, 107628.17300000001, 111223.76060000001, 113448.09079999999, 118214.88369999999, 118133.39090000001, 119820.1804, 119887.82119999999, 119389.34139999999, 119778.59829999998, 123296.3961, 123218.42489999998, 124690.2785, 124635.8251, 126937.04509999999, 126790.4703, 126606.9438, 125100.34069999999, 123101.7646, 120948.5026, 117749.01209999999, 115371.3101, 113474.3934, 112227.7741, 109332.2322, 107175.77189999999, 103196.6802, 97077.666, 91558.49130000001, 86505.871, 82871.7328, 78118.9208, 72203.14749999999, 68497.4854, 63014.4513, 56531.1221, 53848.587]",65200.64114000002,111639.47615142856,95896.01753636362,120410.29375454545,117539.40316153846,,,,0.3761192098113078,0.6440082615700432,0.5531898722035847,0.6946039754864145,0.6780428331047323,,,,Aug
8,1,30.38,-84.37,9,9,147924,169497.59629222224,"[16106.196076, 15442.508715999998, 15348.251017000002, 15348.361351000001, 15699.444157999998, 16182.590192, 16888.449924, 17513.009678000002, 18328.504462999997]","[44061.8194, 42928.22000000001, 42452.982430000004, 40559.91604999999, 46323.45111, 46070.363580000005, 49535.92896, 57213.850049999994, 59185.27705999999, 59861.41442, 68912.14813, 73875.8755, 76392.65265, 78216.15408000001, 81334.77941, 84274.66788000001, 86233.54397, 90749.43287, 93637.19214, 94870.82368999999, 96294.24705, 99647.15441000002, 100836.40379, 100677.37126, 101508.51593000001, 103081.90476000002, 105138.70009, 106690.90671, 107794.4101, 106826.84128, 106824.33301, 108123.17929999999, 106711.65348999998, 108523.6501, 108335.87662000001, 107102.46994000001, 105245.56797999999, 107535.65720999998, 106279.13651999999, 105252.96868, 102229.21024, 100850.38964000001, 90990.29174, 88319.20774, 83712.15802, 80559.38696999999, 77667.66692999999, 73326.76651, 69979.85711, 65314.01684, 62307.83721, 59739.10235, 53605.8097, 48472.61679, 44327.24435]",56174.676391,96943.69931228571,84071.95612454547,104286.33824,101622.17214769231,,,,0.3797536328858062,0.6553615323563837,0.5683456107497463,0.7049994472837403,0.6869890764696216,,,,Sep
9,1,30.38,-84.37,10,10,133998,159740.86737777776,"[14444.453809999999, 14060.53081, 13882.96171, 13923.977200000001, 14292.40507, 14766.58657, 15364.40711, 16075.6538, 16821.25754]","[40735.22265, 38576.401809999996, 38228.45842, 39161.85045, 41757.15071, 41836.241649999996, 40023.68765, 49578.91161, 50122.54149, 54229.19584000001, 57846.77203, 62727.42719, 64414.619549999996, 65603.81321000001, 66880.61465, 69251.86168, 71479.18246, 74825.01595, 77180.15661, 80418.14112000001, 83658.50489000001, 86155.81769, 87979.96796, 91615.37067, 93085.68169, 93202.04578000001, 95314.40226, 96471.18906, 96099.47024, 97763.13481, 96979.93355, 96452.81034, 97532.08006000001, 96303.45774000001, 95853.12094, 96615.07478, 95708.70947, 96188.53164999999, 95229.18586, 94378.95374, 92332.66881999999, 91353.16949, 88143.82106, 85759.8829, 83254.18005, 76880.55196000001, 74589.6698, 69719.981, 68992.78699, 66412.51628000001, 64196.83825, 61680.17401, 55914.74026, 48284.12072, 41934.248949999994]",53142.764525000006,86115.9648557143,70389.64630363636,93738.16582272726,92973.29512000001,,,,0.39659371427185486,0.6426660461776615,0.5253037082914398,0.6995489919456056,0.6938409164315886,,,,Oct
